,attraction_name,attraction_link,attraction_rating,attraction_type,attraction_rank,attraction_duration,attraction_lat,attraction_lng
0,Central Park,https://www.tripadvisor.com/Attraction_Review-g60763-d105127-Reviews-Central_Park-New_York_City_New_York.html,4.5,Landmark,1,3.0,40.7828647,-73.9653551
1,The National 9/11 Memorial & Museum,https://www.tripadvisor.com/Attraction_Review-g60763-d1687489-Reviews-The_National_9_11_Memorial_Museum-New_York_City_New_York.html,4.5,Museum,2,2.5,40.7114743,-74.0134432
2,The Metropolitan Museum of Art,https://www.tripadvisor.com/Attraction_Review-g60763-d105125-Reviews-The_Metropolitan_Museum_of_Art-New_York_City_New_York.html,5.0,Museum,3,2.5,40.7794366,-73.963244
3,Top of the Rock,https://www.tripadvisor.com/Attraction_Review-g60763-d587661-Reviews-Top_of_the_Rock-New_York_City_New_York.html,4.5,Landmark,4,1.5,40.7591164,-73.9795433
4,Empire State Building,https://www.tripadvisor.com/Attraction_Review-g60763-d104365-Reviews-Empire_State_Building-New_York_City_New_York.html,4.5,Landmark,5,1.5,40.7484405,-73.98566439999999
5,Brooklyn Bridge,https://www.tripadvisor.com/Attraction_Review-g60763-d102741-Reviews-Brooklyn_Bridge-New_York_City_New_York.html,4.5,Landmark,6,1.0,40.7060855,-73.9968643
6,Manhattan Skyline,https://www.tripadvisor.com/Attraction_Review-g60763-d267031-Reviews-Manhattan_Skyline-New_York_City_New_York.html,5.0,Landmark,7,0.5,40.763342,-73.9783013
7,The High Line,https://www.tripadvisor.com/Attraction_Review-g60763-d519474-Reviews-The_High_Line-New_York_City_New_York.html,4.5,Landmark,8,2.5,40.7479925,-74.0047649
8,Statue of Liberty,https://www.tripadvisor.com/Attraction_Review-g60763-d103887-Reviews-Statue_of_Liberty-New_York_City_New_York.html,4.5,Landmark,9,3.0,40.6892494,-74.04450039999999
9,One World Observatory,https://www.tripadvisor.com/Attraction_Review-g60763-d8072300-Reviews-One_World_Observatory-New_York_City_New_York.html,4.5,Landmark,10,1.5,40.7133444,-74.0133677
10,Grand Central Terminal,https://www.tripadvisor.com/Attraction_Review-g60763-d103371-Reviews-Grand_Central_Terminal-New_York_City_New_York.html,4.5,Landmark,11,1.5,40.7527262,-73.9772294
11,Broadway,https://www.tripadvisor.com/Attraction_Review-g60763-d143361-Reviews-Broadway-New_York_City_New_York.html,4.5,Landmark,12,0.5,40.908288,-73.896564
12,New York Public Library,https://www.tripadvisor.com/Attraction_Review-g60763-d116236-Reviews-New_York_Public_Library-New_York_City_New_York.html,4.5,Museum,13,0.5,40.75318230000001,-73.9822534
13,The Met Cloisters,https://www.tripadvisor.com/Attraction_Review-g60763-d106609-Reviews-The_Met_Cloisters-New_York_City_New_York.html,4.5,Landmark,14,3.0,40.8648628,-73.9317274
14,Rockefeller Center,https://www.tripadvisor.com/Attraction_Review-g60763-d105123-Reviews-Rockefeller_Center-New_York_City_New_York.html,4.5,Landmark,15,1.5,40.7587402,-73.9786736
15,"Intrepid Sea, Air & Space Museum",https://www.tripadvisor.com/Attraction_Review-g60763-d143358-Reviews-Intrepid_Sea_Air_Space_Museum-New_York_City_New_York.html,4.5,Museum,16,3.0,40.7645266,-73.99960759999999
16,Radio City Music Hall,https://www.tripadvisor.com/Attraction_Review-g60763-d110164-Reviews-Radio_City_Music_Hall-New_York_City_New_York.html,4.5,Landmark,17,2.5,40.75997599999999,-73.9799772
17,Bryant Park,https://www.tripadvisor.com/Attraction_Review-g60763-d136347-Reviews-Bryant_Park-New_York_City_New_York.html,4.5,Parks,18,2.5,40.7535965,-73.9832326
18,Ellis Island,https://www.tripadvisor.com/Attraction_Review-g60763-d104370-Reviews-Ellis_Island-New_York_City_New_York.html,4.5,Landmark,19,0.5,40.6994748,-74.0395587
19,Greenwich Village,https://www.tripadvisor.com/Attraction_Review-g60763-d143367-Reviews-Greenwich_Village-New_York_City_New_York.html,4.5,Landmark,20,0.5,40.7335719,-74.0027418
20,Staten Island Ferry,https://www.tripadvisor.com/Attraction_Review-g60763-d143363-Reviews-Staten_Island_Ferry-New_York_City_New_York.html,4.5,Neighborhoods,21,0.5,40.6826479,-74.03549389999999
21,American Museum of Natural History,https://www.tripadvisor.com/Attraction_Review-g60763-d210108-Reviews-American_Museum_of_Natural_History-New_York_City_New_York.html,4.5,Museum,22,3.0,40.7813241,-73.9739882
22,Times Square,https://www.tripadvisor.com/Attraction_Review-g60763-d110145-Reviews-Times_Square-New_York_City_New_York.html,4.5,Landmark,23,1.5,40.759011,-73.9844722
23,St. Patrick's Cathedral,https://www.tripadvisor.com/Attraction_Review-g60763-d136053-Reviews-St_Patrick_s_Cathedral-New_York_City_New_York.html,4.5,Landmark,24,0.5,40.7584653,-73.97599269999999
