,attraction_name,attraction_link,attraction_rating,attraction_type
0,Central Park,https://www.tripadvisor.com/Attraction_Review-g60763-d105127-Reviews-Central_Park-New_York_City_New_York.html,4.5,Sights & Landmarks
1,The National 9/11 Memorial & Museum,https://www.tripadvisor.com/Attraction_Review-g60763-d1687489-Reviews-The_National_9_11_Memorial_Museum-New_York_City_New_York.html,4.5,Sights & Landmarks
2,The Metropolitan Museum of Art,https://www.tripadvisor.com/Attraction_Review-g60763-d105125-Reviews-The_Metropolitan_Museum_of_Art-New_York_City_New_York.html,5.0,Sights & Landmarks
3,Top of the Rock,https://www.tripadvisor.com/Attraction_Review-g60763-d587661-Reviews-Top_of_the_Rock-New_York_City_New_York.html,4.5,Sights & Landmarks
4,Empire State Building,https://www.tripadvisor.com/Attraction_Review-g60763-d104365-Reviews-Empire_State_Building-New_York_City_New_York.html,4.5,Sights & Landmarks
5,Brooklyn Bridge,https://www.tripadvisor.com/Attraction_Review-g60763-d102741-Reviews-Brooklyn_Bridge-New_York_City_New_York.html,4.5,Sights & Landmarks
6,Manhattan Skyline,https://www.tripadvisor.com/Attraction_Review-g60763-d267031-Reviews-Manhattan_Skyline-New_York_City_New_York.html,5.0,Sights & Landmarks
7,The High Line,https://www.tripadvisor.com/Attraction_Review-g60763-d519474-Reviews-The_High_Line-New_York_City_New_York.html,4.5,Sights & Landmarks
8,Statue of Liberty,https://www.tripadvisor.com/Attraction_Review-g60763-d103887-Reviews-Statue_of_Liberty-New_York_City_New_York.html,4.5,Sights & Landmarks
9,One World Observatory,https://www.tripadvisor.com/Attraction_Review-g60763-d8072300-Reviews-One_World_Observatory-New_York_City_New_York.html,4.5,Sights & Landmarks
10,Grand Central Terminal,https://www.tripadvisor.com/Attraction_Review-g60763-d103371-Reviews-Grand_Central_Terminal-New_York_City_New_York.html,4.5,Sights & Landmarks
11,Broadway,https://www.tripadvisor.com/Attraction_Review-g60763-d143361-Reviews-Broadway-New_York_City_New_York.html,4.5,Sights & Landmarks
12,New York Public Library,https://www.tripadvisor.com/Attraction_Review-g60763-d116236-Reviews-New_York_Public_Library-New_York_City_New_York.html,4.5,Museums
13,The Met Cloisters,https://www.tripadvisor.com/Attraction_Review-g60763-d106609-Reviews-The_Met_Cloisters-New_York_City_New_York.html,4.5,Sights & Landmarks
14,Rockefeller Center,https://www.tripadvisor.com/Attraction_Review-g60763-d105123-Reviews-Rockefeller_Center-New_York_City_New_York.html,4.5,Sights & Landmarks
15,"Intrepid Sea, Air & Space Museum",https://www.tripadvisor.com/Attraction_Review-g60763-d143358-Reviews-Intrepid_Sea_Air_Space_Museum-New_York_City_New_York.html,4.5,Museums
16,Radio City Music Hall,https://www.tripadvisor.com/Attraction_Review-g60763-d110164-Reviews-Radio_City_Music_Hall-New_York_City_New_York.html,4.5,Sights & Landmarks
17,Bryant Park,https://www.tripadvisor.com/Attraction_Review-g60763-d136347-Reviews-Bryant_Park-New_York_City_New_York.html,4.5,Nature & Parks
18,Ellis Island,https://www.tripadvisor.com/Attraction_Review-g60763-d104370-Reviews-Ellis_Island-New_York_City_New_York.html,4.5,Sights & Landmarks
19,Greenwich Village,https://www.tripadvisor.com/Attraction_Review-g60763-d143367-Reviews-Greenwich_Village-New_York_City_New_York.html,4.5,Sights & Landmarks
20,Staten Island Ferry,https://www.tripadvisor.com/Attraction_Review-g60763-d143363-Reviews-Staten_Island_Ferry-New_York_City_New_York.html,4.5,Transportation
21,American Museum of Natural History,https://www.tripadvisor.com/Attraction_Review-g60763-d210108-Reviews-American_Museum_of_Natural_History-New_York_City_New_York.html,4.5,Museums
22,Times Square,https://www.tripadvisor.com/Attraction_Review-g60763-d110145-Reviews-Times_Square-New_York_City_New_York.html,4.5,Sights & Landmarks
23,St. Patrick's Cathedral,https://www.tripadvisor.com/Attraction_Review-g60763-d136053-Reviews-St_Patrick_s_Cathedral-New_York_City_New_York.html,4.5,Sights & Landmarks
24,Chelsea Market,https://www.tripadvisor.com/Attraction_Review-g60763-d288031-Reviews-Chelsea_Market-New_York_City_New_York.html,4.5,Shopping
25,The Oculus,https://www.tripadvisor.com/Attraction_Review-g60763-d10340693-Reviews-The_Oculus-New_York_City_New_York.html,4.5,Sights & Landmarks
26,The Museum of Modern Art (MoMA),https://www.tripadvisor.com/Attraction_Review-g60763-d105126-Reviews-The_Museum_of_Modern_Art_MoMA-New_York_City_New_York.html,4.5,Museums
27,Christmas Spectacular Starring the Radio City Rockettes,https://www.tripadvisor.com/Attraction_Review-g60763-d10749293-Reviews-Christmas_Spectacular_Starring_the_Radio_City_Rockettes-New_York_City_New_York.html,4.5,Events
28,Ellis Island Immigration Museum,https://www.tripadvisor.com/Attraction_Review-g60763-d1597190-Reviews-Ellis_Island_Immigration_Museum-New_York_City_New_York.html,4.5,Museums
29,Madison Square Garden,https://www.tripadvisor.com/Attraction_Review-g60763-d275371-Reviews-Madison_Square_Garden-New_York_City_New_York.html,4.5,Sights & Landmarks
30,Gershwin Theater,https://www.tripadvisor.com/Attraction_Review-g60763-d505289-Reviews-Gershwin_Theater-New_York_City_New_York.html,4.5,Theaters
31,One World Trade Center,https://www.tripadvisor.com/Attraction_Review-g60763-d11744535-Reviews-One_World_Trade_Center-New_York_City_New_York.html,4.5,Points of Interest & Landmarks
32,Christmas Spectacular Starring the Radio City Rockettes,https://www.tripadvisor.com/Attraction_Review-g60763-d10749293-Reviews-Christmas_Spectacular_Starring_the_Radio_City_Rockettes-New_York_City_New_York.html,4.5,Cultural Events
